tanggal,produk,kategori,kota,sales_person,channel,qty,diskon_pct,retur,harga_satuan,revenue,revenue_bersih,cogs,profit,margin_pct,bulan,bulan_nama,minggu,hari_nama
2026-01-02,Mouse Wireless,Aksesori,Semarang,Budi Santoso,Reseller,2,5,0,350000,665000.0,665000.0,388578.01129494415,276421.98870505585,41.56721634662494,2026-01,Jan 2026,1,Friday
2026-01-07,Tablet Air,Tablet,Palembang,Reza Firmansyah,Online,1,5,0,6500000,6175000.0,6175000.0,3931785.3707427913,2243214.6292572087,36.32736241712079,2026-01,Jan 2026,2,Wednesday
2026-01-27,Smartphone Z9,Smartphone,Semarang,Reza Firmansyah,Offline,6,15,0,8200000,41820000.0,41820000.0,25535398.4906852,16284601.509314802,38.939745359432806,2026-01,Jan 2026,5,Tuesday
2026-02-26,Smartphone Z9,Smartphone,Yogyakarta,Reza Firmansyah,Offline,4,0,0,8200000,32800000.0,32800000.0,20481389.29262122,12318610.707378779,37.55673996152067,2026-02,Feb 2026,9,Thursday
2026-03-19,Webcam HD,Aksesori,Surabaya,Dewi Lestari,Offline,6,5,0,750000,4275000.0,4275000.0,2711032.108616513,1563967.8913834868,36.58404424288858,2026-03,Mar 2026,12,Thursday
2026-03-19,Mouse Wireless,Aksesori,Medan,Reza Firmansyah,Online,2,20,1,350000,560000.0,0.0,0.0,0.0,0.0,2026-03,Mar 2026,12,Thursday
2026-01-30,Mouse Wireless,Aksesori,Surabaya,Siti Rahma,Online,7,0,0,350000,2450000.0,2450000.0,1473805.396047403,976194.6039525969,39.844677712350894,2026-01,Jan 2026,5,Friday
2026-01-29,Laptop ProX,Komputer,Jakarta,Reza Firmansyah,Offline,3,0,0,18500000,55500000.0,55500000.0,32388506.155665316,23111493.844334684,41.642331251053484,2026-01,Jan 2026,5,Thursday
2026-02-21,Tablet Air,Tablet,Semarang,Dewi Lestari,Online,7,5,0,6500000,43225000.0,43225000.0,27521193.26012821,15703806.739871789,36.33037996500125,2026-02,Feb 2026,8,Saturday
2026-03-11,Smartphone Z9,Smartphone,Semarang,Siti Rahma,Reseller,2,20,0,8200000,13120000.0,13120000.0,8803005.735985868,4316994.264014132,32.90391969522967,2026-03,Mar 2026,11,Wednesday
2026-03-18,Keyboard Mech,Aksesori,Jakarta,Dewi Lestari,Online,5,0,0,580000,2900000.0,2900000.0,1901841.0849106326,998158.9150893674,34.419272934116115,2026-03,Mar 2026,12,Wednesday
2026-01-29,Tablet Air,Tablet,Semarang,Budi Santoso,Online,3,5,0,6500000,18525000.0,18525000.0,10960494.731383517,7564505.268616483,40.8340365377408,2026-01,Jan 2026,5,Thursday
